Name,TCG,Amazon,Spread,% Spread
Fracturing Gust,3.43,3.95,0.52,0.86835443
Bitterblossom,36.98,42.59,5.61,0.868278939
Dream Halls,8.21,9.47,1.26,0.866948258
Chord of Calling ,6.83,7.9,1.07,0.864556962
Temur Battle Rage ,0.56,0.65,0.09,0.861538462
Coalition Relic,5.12,5.95,0.83,0.860504202
Twilight Prophet,12.95,15.09,2.14,0.858184228
Devastation Tide ,1.66,1.94,0.28,0.855670103
Containment Priest ,1.8,2.11,0.31,0.853080569
Tolaria West,8.49,9.96,1.47,0.852409639
Grim Flayer ,10.25,12.03,1.78,0.852036575
Metallic Mimic ,7.5,8.82,1.32,0.850340136
Tormod's Crypt ,0.96,1.13,0.17,0.849557522
Wound Reflection,16.12,18.99,2.87,0.848867825
Monastery Mentor ,23.65,27.88,4.23,0.848278336
Spellshock,4.95,5.85,0.9,0.846153846
Restore Balance,3.34,3.95,0.61,0.84556962
Smothering Tithe,7.94,9.4,1.46,0.844680851
Doom Whisperer ,3.42,4.05,0.63,0.844444444
Oblivion Stone,5.48,6.49,1.01,0.844375963
Cruel Reality,0.81,0.96,0.15,0.84375
Abrupt Decay ,8.3,9.84,1.54,0.843495935
Sacred Foundry ,10.17,12.07,1.9,0.842584921
Murderous Rider,6.19,7.36,1.17,0.841032609
Mishra's Bauble,8.34,9.94,1.6,0.839034205
"Tamiyo, Collector of Tales",1.25,1.49,0.24,0.838926174
Outpost Siege ,0.57,0.68,0.11,0.838235294
Steam Vents ,14.53,17.34,2.81,0.837946943
Grafdigger's Cage,1.66,1.99,0.33,0.834170854
"Neheb, the Eternal",7,8.41,1.41,0.832342449
Intruder Alarm,12.98,15.64,2.66,0.829923274
Pir's Whim,2.14,2.58,0.44,0.829457364
Lifeblood Hydra ,5.1,6.18,1.08,0.825242718
Supreme Verdict ,17.09,20.77,3.68,0.822821377
Griselbrand ,8.18,9.96,1.78,0.821285141
Sunbaked Canyon,9.83,11.99,2.16,0.819849875
Life from The Loam,7.6,9.27,1.67,0.819848975
"K'rrik, Son of Yawgmoth",8.85,10.82,1.97,0.81792976
Eternal Witness ,4.49,5.49,1,0.817850638
As Foretold,6.53,7.99,1.46,0.817271589
Liliana of The Veil,52.47,64.24,11.77,0.816780822
Thought Vessel,7.97,9.81,1.84,0.81243629
Battlefield Forge ,2.2,2.72,0.52,0.808823529
Massacre Wurm,17.09,21.14,4.05,0.808420057
"Baral, Chief of Compliance ",4.84,5.99,1.15,0.808013356
Ancestral Vision,4.97,6.16,1.19,0.806818182
Sol Ring,3.61,4.48,0.87,0.805803571
Sword of the Meek,11.99,14.95,2.96,0.802006689
"Dovin, Grand Arbiter",1.36,1.7,0.34,0.8
Doublecast,0.52,0.65,0.13,0.8
"Vona, Butcher of Magan",3.32,4.15,0.83,0.8
Simian Spirit Guide,2.39,2.99,0.6,0.799331104
Baleful Strix ,4.7,5.88,1.18,0.799319728
Matter Reshaper ,3.28,4.11,0.83,0.798053528
Path of Discovery,2.13,2.68,0.55,0.794776119
Mindbreak Trap ,3.44,4.33,0.89,0.794457275
Nimble Obstructionist,1.04,1.31,0.27,0.79389313
Crucible of Worlds,17.98,22.67,4.69,0.793118659
Metallurgic Summonings ,1.97,2.49,0.52,0.791164659
Spell Queller ,11.96,15.16,3.2,0.788918206
Act of Authority ,1.23,1.56,0.33,0.788461538
Oblivion Sower ,1.75,2.22,0.47,0.788288288
Mission Briefing ,0.95,1.21,0.26,0.785123967
"Ravos, Soultender ",11.06,14.1,3.04,0.784397163
Karn Liberated ,40.27,51.53,11.26,0.781486513
Canyon Slough,1.5,1.93,0.43,0.777202073
Heart of Kiran ,2.65,3.41,0.76,0.7771261
Spirebluff Canal ,10.04,12.98,2.94,0.773497689
"Thalia, Guardian of Thraben",6.83,8.84,2.01,0.772624434
Flooded Strand ,15,19.43,4.43,0.772002059
Thraben Inspector ,0.57,0.74,0.17,0.77027027
